,ID,message
0,TXBkr9Vma,"!extend:default:vvvvvv
!extend:default:vvvvvv
!extend:default:vvvvvv
!extend:default:vvvvvv

機種名　マジカルハロウィン5
導入日　2016年2月22日
タイプ　 A+ART
ART純増　1.0枚
初期ゲーム数　30Gor100G+α
BB獲得枚数　176枚(異色)，200枚(青7)，256枚(赤7)
RB獲得枚数　48枚
天井　　777G（※6択リプレイ失敗後）
ベース　31.9～33.2G

設定　BB確率　RB確率　ART確率　BR合成　出玉率
1　　1/329.3 　1/339.6 　1/376.5 　1/167.2 　*97.1%
2　　1/329.3 　1/339.6 　1/334.2 　1/167.2 　*98.6%
3　　1/329.3 　1/339.6 　1/341.0 　1/167.2 　100.4%
4　　1/329.3 　1/339.6 　1/299.8 　1/167.2 　104.2%
5　　1/310.6 　1/329.3 　1/315.6 　1/159.8 　107.1%
6　　1/300.6 　1/300.6 　1/272.2 　1/150.3 　110.7%

■パチスロ「マジカルハロウィン5」公式サイト
https://www.konami.com/amusement/psm/slot/k/magihallo5/

■マジカルハロウィンシリーズポータルサイト
https://www.konami.com/amusement/psm/kpe_mh/

■解析みるまえにまず読む公式情報
TrickorTweet
https://www.konami.com/amusement/psm/slot/k/magihallo5/trick/
続・まじおつ(アーカイブ)
https://www.konami.com/amusement/psm/slot/k/magihallo5/blog/
まじおつ(マジハロ総合)
https://www.konami.com/amusement/psm/portal/magihallo/magiotsu/index.html

次スレは>>970が宣言して建てて下さい
スレが建つ迄は書き込みを控えてね、ローズとの約束よ

ﾜｯﾁｮｲ・IP入りでスレ立てするときは1行目に
!extend:default:vvvvvv
を入れてください（vが6つ）

ﾜｯﾁｮｲのみの場合は1行目に
!extend:default:vvvvv
を入れてください（vが5つ）


※前スレ
【マジハロ】マジカルハロウィン5 part109
https://egg.5ch.net/test/read.cgi/slotk/1587124973/

【マジハロ】マジカルハロウィン5 part110
https://egg.5ch.net/test/read.cgi/slotk/1590221833/
VIPQ2_EXTDAT: default:vvvvvv:1000:512:: EXT was configured"
1,TXBkr9Vma,"■カボチャンス

【突入リプレイ】
*30G：1/2.8
100G：1/128
※100GはART約55回に1回の割合

【BIG成立後のレア役高確率】
チャンリプ　：1/15.38
強チェリー　：1/27.79
特殊役　　　：1/256
特殊リプレイ：1/489.1

【赤BIG成立中】
カボフェイクリプ：1/11.99
カボチャリプレイ：1/15.86"
2,Z3c+SshDa,"■設定示唆

【ボーナス重複】
弱チェ+異色BIGorREG：設定1-5：1/2731，設定6：1/1638
リプ+異色BIGorREG：設定1-4：1/4681，設定5：1/2185，設定6：1/1725

【ART中ハズレ】
設定1-4：1/16384，設定5：1/10922，設定6：1/8192"
3,Z3c+SshDa,"■設定示唆2

【ボーナス確定画面】
ボーナス確定または終了画面時にアリワンが出た場合
※アリワン：アリス・イン・ワンダーランドの略
※ストック5個以上が条件

確定画面のみ（偶数示唆）
*5個以上　設定1：*4.7%，2：12.5%，3/5：6.3%，4：13.3%，6：14.1%
10個以上　設定4：12.5%，6：12.5%

終了画面のみ（高設定示唆）
※確定時非アリワン→終了時アリワンのみ設定差あり
*5個以上　設定1：0.4%，2：0.6%，3：0.8%，4：1.6%，5：2.0%，6：2.3%

確定と終了の両方（設定4or6確定）
10個以上　設定4：1.6%，設定6：3.1%"
4,Z3c+SshDa,"■ボナ察知手順
お勧めはスイカが揃いやすく枚数的にお得な【手順1】
「チャンス」ボイス発生時は左リールに青7狙いで消化します

【手順1】
順ハサミ押しでREG(錬金)→異色BIGの順番に狙う
連続演出中の「チャンス」非発生時やレア子役否定の演出時に
左第1停止で赤7を狙い、スイカが揃えば青7以外のボーナスが確定
※左第1停止時に限り赤7頭ボナ成立後のベル溢しがスイカに変換され易い為
※ボナ後白？時順ハサミで左赤7右成立ボナ図柄でコイン溢しなし"
5,Z3c+SshDa,"■ボナ察知【手順2】
逆ハサミ押しでREG(錬金)→異色BIGの順番に狙う
右中段ベル停止時にベル溢しの場合は右に狙った図柄のボーナスを否定
中段スイカ・リプレイ・スイカで1枚払出の場合は右に狙った図柄のボーナスが確定
※中段スリスはボナ成立後のベル溢し時に出現する"
6,9WH6v5XC0,"■ストック示唆 (1/2)
※マジカルガールズはカスタム時のみ出現
※非カスタム時はアリスとローズのバニーコス

【ART開始画面】
*1個以上：アリス&ローズ or フロスト&ノワール
*3個以上：クロス&ベレッタ&ヒトミ
*5個以上：みるく&めいぷる&しゅがー
*7個以上：4人水着
10個以上：4人バニー
15個以上：校長&1Pキャロル&2Pキャロル
20個以上：ソーマ&ルラ&ルル

【ボナ確定画面のみ】
*1個以上：マジカルガールズ
*3個以上：4人通常衣装
*5個以上+偶数示唆：アリスインワンダーランド

【ボナ終了画面のみ】
*1個以上：マジカルガールズ
*3個以上：ルラ&ルル&ガルちゃん
*5個以上：4人通常衣装
*5個以上+高設定示唆：アリスインワンダーランド
15個以上：6人バニー"
7,9WH6v5XC0,"■ストック示唆 (2/2)

【カボチャンス中曲変化】
*1個以上：ハピ☆ラキ
*5個以上：初代通常BIG曲（Magical Sky）
10個以上：初代ART中BIG曲（Miracle Halloween）


【REG中曲変化】※まじおつ142回
*5個以上：4のREG映像 （曲：Curetroche
*5個以上：3のREG映像 （曲：星の天気予報　※7個以上で若干出やすい
10個以上：3のREG映像 （曲：Pastel Colors
15個以上：2のREG映像 （曲：Miracle Colors、Pastel Colorsもか？
30個以上：2のREG映像 （曲：Magical Magicアレンジ版

【上位ART時】
悪カボ中曲変化
記憶の欠片：Loop継続確定
月歌：Loop継続確定+継続率66％以上

スーカボ中曲変化
ハピ☆ラキ：Loop継続確定

【ボーナス終了画面時のパネル消灯】
通常or詠唱中のボーナスでのストック有りを示唆"
8,9WH6v5XC0,"【ボナ確とボナ終了時の組み合わせ法則】
確定時マジカルガールズ，終了時に下記画面の場合
*3個以上：マジカルガールズ
*5個以上：ルラ&ルル&ガルちゃん
15個以上：4人通常衣装
15個以上：アリスインワンダーランド

確定時4人通常，終了時に下記画面の場合
*5個以上：マジカルガールズ
10個以上：4人通常衣装
15個以上：ルラ&ルル&ガルちゃん
15個以上：アリスインワンダーランド"
9,9WH6v5XC0,"■錬金ボーナス解析 (1/2)

●錬金ボーナス当選時
【通常滞在時】
錬金pt獲得率
設定1：*1.0%
設定2：25.0%
設定3/5/6：50.0%
設定4：75.0%

獲得時の振り分け
5pt
├設定1/2/3/5/6：50.0%
└設定4：33.3%
10pt
├設定1/2/3/5/6：50.0%
└設定4：66.7%

【高確・超高確滞在時】
錬金pt獲得率
設定1：25.0%
設定2：50.0%
設定3/5/6：75.0%
設定4：87.5%

獲得時の振り分け
5pt
├設定1：93.6%
├設定2：50.0%
├設定3/5/6：33.3%
└設定4：28.6%
10pt
├設定1：*6.4%
├設定2：50.0%
├設定3/5/6：66.7%
└設定4：71.4%"
